Start Date,Start Time,End Date,End Time,SKU,Offering Name,Offering ID,Class Status
2026/06/15,09:30 JST,2026/06/19,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),89434986,Scheduled
2026/06/22,09:30 JST,2026/06/25,17:30 JST,AU294VT,Red Hat Enterprise Linux Automation with Ansible (AU294VT),89434919,Scheduled
2026/06/29,09:30 JST,2026/07/02,17:30 JST,DO280VT,Red Hat OpenShift Administration II: Configuring a Production Cluster (DO280VT),89434951,Scheduled
2026/07/03,09:30 JST,2026/07/03,13:30 JST,EX294,Red Hat Certified Engineer (RHCE) exam (EX294) (RHEL 9.0),90986800,Scheduled
2026/07/06,09:30 JST,2026/07/09,17:30 JST,DO180VT,Red Hat OpenShift Administration I: Operating a Production Cluster (DO180VT),91154914,Scheduled
2026/07/13,09:30 JST,2026/07/16,17:30 JST,DO280VT,Red Hat OpenShift Administration II: Configuring a Production Cluster (DO280VT),91155606,Scheduled
2026/07/27,09:30 JST,2026/07/31,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),91156329,Scheduled
2026/08/24,09:30 JST,2026/08/27,17:30 JST,DO380VT,Red Hat OpenShift Administration III: Scaling Deployments in the Enterprise (DO380VT),91154146,Scheduled
2026/08/24,09:30 JST,2026/08/27,17:30 JST,DO380VT,Red Hat OpenShift Administration III: Scaling Deployments in the Enterprise (DO380VT),91247149,Cancelled
2026/09/07,09:30 JST,2026/09/09,17:30 JST,DO188VT,Red Hat OpenShift Development I: Introduction to Containers with Podman (DO188VT),91247092,Scheduled
2026/09/07,09:30 JST,2026/09/11,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),91247242,Scheduled
2026/09/14,09:30 JST,2026/09/17,17:30 JST,DO180VT,Red Hat OpenShift Administration I: Operating a Production Cluster (DO180VT),91154919,Scheduled
2026/09/14,09:30 JST,2026/09/17,17:30 JST,AU294VT,Red Hat Enterprise Linux Automation with Ansible (AU294VT),91246002,Scheduled
2026/09/14,09:30 JST,2026/09/17,17:30 JST,DO288VT,Red Hat OpenShift Developer II: Building and Deploying Cloud-native Applications (DO288VT),91247122,Scheduled
2026/09/28,09:30 JST,2026/10/01,17:30 JST,DO280VT,Red Hat OpenShift Administration II: Configuring a Production Cluster (DO280VT),91155611,Scheduled
2026/09/28,09:30 JST,2026/09/29,17:30 JST,CL170VT,OpenStack Administration: Control Plane Management (CL170VT),91247073,Scheduled
2026/09/28,09:30 JST,2026/10/02,17:30 JST,RH124VT,Red Hat System Administration I (RH124VT) (RHEL 10),91247176,Scheduled
2026/10/05,09:30 JST,2026/10/09,17:30 JST,RH134VT,Red Hat System Administration II (RH134VT) (RHEL 10),91247209,Scheduled
2026/10/05,09:30 JST,2026/10/09,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),91247253,Scheduled
2026/10/13,09:30 JST,2026/10/16,17:30 JST,AU294VT,Red Hat Enterprise Linux Automation with Ansible (AU294VT),91247055,Scheduled
2026/10/13,09:30 JST,2026/10/15,17:30 JST,DO188VT,Red Hat OpenShift Development I: Introduction to Containers with Podman (DO188VT),91247099,Scheduled
2026/10/19,09:30 JST,2026/10/22,17:30 JST,DO380VT,Red Hat OpenShift Administration III: Scaling Deployments in the Enterprise (DO380VT),91154447,Scheduled
2026/10/19,09:30 JST,2026/10/22,17:30 JST,DO288VT,Red Hat OpenShift Developer II: Building and Deploying Cloud-native Applications (DO288VT),91247131,Scheduled
2026/10/19,09:30 JST,2026/10/22,17:30 JST,DO380VT,Red Hat OpenShift Administration III: Scaling Deployments in the Enterprise (DO380VT),91247158,Cancelled
2026/10/19,09:30 JST,2026/10/23,17:30 JST,RH124VT,Red Hat System Administration I (RH124VT) (RHEL 10),91247187,Scheduled
2026/10/26,09:30 JST,2026/10/29,17:30 JST,DO180VT,Red Hat OpenShift Administration I: Operating a Production Cluster (DO180VT),91132529,Scheduled
2026/10/26,09:30 JST,2026/10/29,17:30 JST,DO180VT,Red Hat OpenShift Administration I: Operating a Production Cluster (DO180VT),91247083,Cancelled
2026/10/26,09:30 JST,2026/10/30,17:30 JST,RH134VT,Red Hat System Administration II (RH134VT) (RHEL 10),91247220,Scheduled
2026/11/04,09:30 JST,2026/11/05,17:30 JST,CL170VT,OpenStack Administration: Control Plane Management (CL170VT),91247078,Scheduled
2026/11/09,09:30 JST,2026/11/12,17:30 JST,DO280VT,Red Hat OpenShift Administration II: Configuring a Production Cluster (DO280VT),91132789,Scheduled
2026/11/09,09:30 JST,2026/11/12,17:30 JST,DO280VT,Red Hat OpenShift Administration II: Configuring a Production Cluster (DO280VT),91247113,Cancelled
2026/11/09,09:30 JST,2026/11/13,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),91247264,Scheduled
2026/11/16,09:30 JST,2026/11/18,17:30 JST,DO188VT,Red Hat OpenShift Development I: Introduction to Containers with Podman (DO188VT),91247106,Scheduled
2026/11/16,09:30 JST,2026/11/20,17:30 JST,RH124VT,Red Hat System Administration I (RH124VT) (RHEL 10),91247198,Scheduled
2026/11/24,09:30 JST,2026/11/27,17:30 JST,DO180VT,Red Hat OpenShift Administration I: Operating a Production Cluster (DO180VT),91154924,Scheduled
2026/11/24,09:30 JST,2026/11/27,17:30 JST,DO288VT,Red Hat OpenShift Developer II: Building and Deploying Cloud-native Applications (DO288VT),91247140,Scheduled
2026/11/30,09:30 JST,2026/12/04,17:30 JST,RH134VT,Red Hat System Administration II (RH134VT) (RHEL 10),91247231,Scheduled
2026/12/07,09:30 JST,2026/12/10,17:30 JST,DO280VT,Red Hat OpenShift Administration II: Configuring a Production Cluster (DO280VT),91155616,Scheduled
2026/12/07,09:30 JST,2026/12/10,17:30 JST,AU294VT,Red Hat Enterprise Linux Automation with Ansible (AU294VT),91247064,Scheduled
2026/12/07,09:30 JST,2026/12/11,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),91247275,Scheduled
2026/12/21,09:30 JST,2026/12/24,17:30 JST,DO380VT,Red Hat OpenShift Administration III: Scaling Deployments in the Enterprise (DO380VT),91154453,Scheduled
2026/12/21,09:30 JST,2026/12/24,17:30 JST,DO380VT,Red Hat OpenShift Administration III: Scaling Deployments in the Enterprise (DO380VT),91247167,Cancelled
