Start Date,End Date,Class Status,Offering ID,Offering Name,SKU
1963/11/23,1963/11/23,Holiday,holiday_82,勤労感謝の日,HOLIDAY
1964/1/1,1964/1/1,Holiday,holiday_83,元日,HOLIDAY
1964/1/15,1964/1/15,Holiday,holiday_84,成人の日,HOLIDAY
1964/3/20,1964/3/20,Holiday,holiday_85,春分の日,HOLIDAY
1964/4/29,1964/4/29,Holiday,holiday_86,天皇誕生日,HOLIDAY
1964/5/3,1964/5/3,Holiday,holiday_87,憲法記念日,HOLIDAY
1964/5/5,1964/5/5,Holiday,holiday_88,こどもの日,HOLIDAY
1964/9/23,1964/9/23,Holiday,holiday_89,秋分の日,HOLIDAY
1964/11/3,1964/11/3,Holiday,holiday_90,文化の日,HOLIDAY
1964/11/23,1964/11/23,Holiday,holiday_91,勤労感謝の日,HOLIDAY
1965/1/1,1965/1/1,Holiday,holiday_92,元日,HOLIDAY
1965/1/15,1965/1/15,Holiday,holiday_93,成人の日,HOLIDAY
1965/3/21,1965/3/21,Holiday,holiday_94,春分の日,HOLIDAY
1965/4/29,1965/4/29,Holiday,holiday_95,天皇誕生日,HOLIDAY
1965/5/3,1965/5/3,Holiday,holiday_96,憲法記念日,HOLIDAY
1965/5/5,1965/5/5,Holiday,holiday_97,こどもの日,HOLIDAY
1965/9/23,1965/9/23,Holiday,holiday_98,秋分の日,HOLIDAY
1965/11/3,1965/11/3,Holiday,holiday_99,文化の日,HOLIDAY
1965/11/23,1965/11/23,Holiday,holiday_100,勤労感謝の日,HOLIDAY
1966/1/1,1966/1/1,Holiday,holiday_101,元日,HOLIDAY
1966/1/15,1966/1/15,Holiday,holiday_102,成人の日,HOLIDAY
1966/3/21,1966/3/21,Holiday,holiday_103,春分の日,HOLIDAY
1966/4/29,1966/4/29,Holiday,holiday_104,天皇誕生日,HOLIDAY
1966/5/3,1966/5/3,Holiday,holiday_105,憲法記念日,HOLIDAY
1966/5/5,1966/5/5,Holiday,holiday_106,こどもの日,HOLIDAY
1966/9/15,1966/9/15,Holiday,holiday_107,敬老の日,HOLIDAY
1966/9/23,1966/9/23,Holiday,holiday_108,秋分の日,HOLIDAY
1966/10/10,1966/10/10,Holiday,holiday_109,体育の日,HOLIDAY
1966/11/3,1966/11/3,Holiday,holiday_110,文化の日,HOLIDAY
1966/11/23,1966/11/23,Holiday,holiday_111,勤労感謝の日,HOLIDAY
1967/1/1,1967/1/1,Holiday,holiday_112,元日,HOLIDAY
1967/1/15,1967/1/15,Holiday,holiday_113,成人の日,HOLIDAY
1967/2/11,1967/2/11,Holiday,holiday_114,建国記念の日,HOLIDAY
1967/3/21,1967/3/21,Holiday,holiday_115,春分の日,HOLIDAY
1967/4/29,1967/4/29,Holiday,holiday_116,天皇誕生日,HOLIDAY
1967/5/3,1967/5/3,Holiday,holiday_117,憲法記念日,HOLIDAY
1967/5/5,1967/5/5,Holiday,holiday_118,こどもの日,HOLIDAY
1967/9/15,1967/9/15,Holiday,holiday_119,敬老の日,HOLIDAY
1967/9/24,1967/9/24,Holiday,holiday_120,秋分の日,HOLIDAY
1967/10/10,1967/10/10,Holiday,holiday_121,体育の日,HOLIDAY
1967/11/3,1967/11/3,Holiday,holiday_122,文化の日,HOLIDAY
1967/11/23,1967/11/23,Holiday,holiday_123,勤労感謝の日,HOLIDAY
1968/1/1,1968/1/1,Holiday,holiday_124,元日,HOLIDAY
1968/1/15,1968/1/15,Holiday,holiday_125,成人の日,HOLIDAY
1968/2/11,1968/2/11,Holiday,holiday_126,建国記念の日,HOLIDAY
1968/3/20,1968/3/20,Holiday,holiday_127,春分の日,HOLIDAY
1968/4/29,1968/4/29,Holiday,holiday_128,天皇誕生日,HOLIDAY
1968/5/3,1968/5/3,Holiday,holiday_129,憲法記念日,HOLIDAY
1968/5/5,1968/5/5,Holiday,holiday_130,こどもの日,HOLIDAY
1968/9/15,1968/9/15,Holiday,holiday_131,敬老の日,HOLIDAY
1968/9/23,1968/9/23,Holiday,holiday_132,秋分の日,HOLIDAY
1968/10/10,1968/10/10,Holiday,holiday_133,体育の日,HOLIDAY
